Name,Url,Authority,Start Date,End Date,License Number
Disney University - High-Potential Leadership Program,,The Walt Disney Company,,,
NBCU Talent Lab - JUMP Leadership Development Program,,"NBCUniversal Media, LLC",,,
Big Data Technology Fundamentals,,Amazon Web Services,,,
Executive Data Science Specialization | Johns Hopkins University,https://www.coursera.org/account/accomplishments/specialization/Z4LA52UCWLRA,Coursera Course Certificates,Apr 2016,,Z4LA52UCWLRA
R Programming,https://www.coursera.org/account/accomplishments/verify/GBZWHVDJCJ,Coursera Course Certificates,Oct 2015,,GBZWHVDJCJ
Building Data Science Teams,https://www.coursera.org/account/accomplishments/verify/LKVULJQPJ29U,Coursera Course Certificates,Jan 2016,,LKVULJQPJ29U
Marketing | University of Pennsylvania,https://www.coursera.org/account/accomplishments/verify/5ZFSLASDEUYP,Coursera Course Certificates,Apr 2016,,5ZFSLASDEUYP
Python for Data Science,https://courses.edx.org/certificates/8e49494072a44b0c8fecd92541471543,edX,Nov 2016,,
Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,https://www.coursera.org/account/accomplishments/verify/9GCLUGJTE92E,Coursera Course Certificates,Jul 2016,,9GCLUGJTE92E
The Complete SQL Bootcamp,https://www.udemy.com/certificate/UC-74XMW6I3/,Udemy,Jan 2017,,
Marketing in a Digital World,https://www.coursera.org/account/accomplishments/verify/T3WSE25NHJDV,Coursera Course Certificates,Jun 2015,,T3WSE25NHJDV
Practical Machine Learning,https://www.coursera.org/account/accomplishments/verify/8VHCQPV3LF,Coursera Course Certificates,May 2015,,8VHCQPV3LF
Data Science  Specialization | Johns Hopkins University,https://www.coursera.org/account/accomplishments/specialization/QSSB8M85CZ4P,Coursera Course Certificates,Apr 2016,,QSSB8M85CZ4P
Advanced Tableau,,Tableau Software,,,
Regression Models,https://www.coursera.org/account/accomplishments/verify/Y8DB39BVRH,Coursera Course Certificates,Oct 2015,,Y8DB39BVRH
Developing Data Products,https://www.coursera.org/account/accomplishments/verify/NYA2SZ34H7,Coursera Course Certificates,Oct 2015,,NYA2SZ34H7
Google Analytics Certification,https://analytics.google.com/analytics/academy/course/6/certificate,Google,,,
How to Build an Online Business: A Complete Business Plan,https://www.udemy.com/certificate/UC-G359BPZW/,Udemy,,,
Building a Data Science Team,https://www.coursera.org/account/accomplishments/certificate/LKVULJQPJ29U,Coursera,,,
Google Cloud Platform Big Data and Machine Learning Fundamentals,,Google Cloud Certified,,,5VAZ7WVCRLUF
Serverless Data Analysis with Google BigQuery and Cloud Dataflow,https://www.coursera.org/account/accomplishments/verify/QABFT6DPYXXW,Coursera,,,QABFT6DPYXXW
Serverless Machine Learning with Tensorflow on Google Cloud Platform,,Coursera,,,
