,job_title,company_name,location,summary,salary
1,Senior Data Scientist,Restoration Media,"Irvine, CA 92614",The Senior Data Scientist will leverage the businessâ€™s data to enhance business stakeholders capabilities for overall goal achievement....,Nothing_found
2,Envionmental Scientist II,CWE,"Fullerton, CA 92831","Data management and analysis (compilation, manipulation, and evaluation of data). Perform regulatory and water quality data analyses....",Nothing_found
3,Director of Data & Analytics,Joybird,"Commerce, CA",3+ years experience in an analytical role or as a Data Analyst or Data Scientist. The Joybird data & analytics team enables tactical and strategic business...,Nothing_found
4,"Associate, Data Scientist/Statistics - Financial Services",KPMG,"Los Angeles, CA 90071","Machine learning, data visualization, statistical modeling, data mining, or information retrieval. A minimum of one year of professional experience working as a...",Nothing_found
5,Artificial Intelligence & Data Scientist,Twentieth Century Fox,"Los Angeles, CA","1-3+ years of experience as data scientist. Experience in data ingestion, data cleaning, prototyping, bringing prototypes to production, product design, setting...",Nothing_found
6,Data Scientist / Data Analyst,Hyperloop One,"Los Angeles, CA","The Data Scientist / Data Analyst will be part of Machine Intelligence & Analytics Group, within the Software Engineering Division....",Nothing_found
7,"Research Scientist, Machine Learning / Artificial Intelligence",Disney Parks & Resorts,"Glendale, CA",Duties of a Research Scientist include:. Research Scientists work on and contribute to research projects relevant to Disney Research and the company....,Nothing_found
8,Data Scientist - Tech Start Up,Next Trucking,"Los Angeles, CA",We are looking for a motivated Data Scientist to help make a significant impact on the growth and future of the Next Trucking product....,Nothing_found
9,Data Scientist â€“ Machine Learning,Internet Brands,"Los Angeles, CA","Is currently seeking a Data Scientist - Machine Learning, who will help us discover the information hidden in vast amounts of data, and help us make smarter...",Nothing_found
10,Associate Machine Learning Engineer,eharmony,"Los Angeles, CA",Create data pipelines to establish datasets for training machine learning models. Degree(s) encompassing significant exposure to computer science and machine...,Nothing_found
11,Summer Internship - Data Science,Tala,"Santa Monica, CA","We are looking for someone to add diversity of thought to our current ensemble of data scientists. We leverage a unique, diverse, and deep data set....",Nothing_found
12,Data Analyst (Statistical Analysis),TekVizor,"Los Angeles, CA","Data Mining, loading data, joining tables, select statements, etc... As a member of the Data team, you will be tasked with weaving structured and unstructured...",Nothing_found
