job_title,company_name,location,summary,salary,clean_address,commute,distance_km
Senior Data Scientist,Restoration Media,"Irvine, CA 92614",The Senior Data Scientist will leverage the business’s data to enhance business stakeholders capabilities for overall goal achievement....,Nothing_found,"Restoration Media Irvine, CA 92614",35.25,47.222
Statistician,"First Capitol Consulting, Inc.","Los Angeles, CA",The Workforce Statistician is responsible for designing and presenting pay equity analysis to our clients. Be accountable for pay equity analysis by...,Nothing_found,"First Capitol Consulting, Inc. Los Angeles, CA",49.8833333333,61.733
Director of Data & Analytics,Joybird,"Commerce, CA",3+ years experience in an analytical role or as a Data Analyst or Data Scientist. The Joybird data & analytics team enables tactical and strategic business...,Nothing_found,"Joybird Commerce, CA",12.9166666667,10.871
"Associate, Data Scientist/Statistics - Financial Services",KPMG,"Los Angeles, CA 90071","Machine learning, data visualization, statistical modeling, data mining, or information retrieval. A minimum of one year of professional experience working as a...",Nothing_found,"KPMG Los Angeles, CA 90071",52.8666666667,45.025
Artificial Intelligence & Data Scientist,Twentieth Century Fox,"Los Angeles, CA","1-3+ years of experience as data scientist. Experience in data ingestion, data cleaning, prototyping, bringing prototypes to production, product design, setting...",Nothing_found,"Twentieth Century Fox Los Angeles, CA",50.2333333333,57.158
Data Scientist / Data Analyst,Hyperloop One,"Los Angeles, CA","The Data Scientist / Data Analyst will be part of Machine Intelligence & Analytics Group, within the Software Engineering Division....",Nothing_found,"Hyperloop One Los Angeles, CA",21.0,19.546
"Research Scientist, Machine Learning / Artificial Intelligence",Disney Parks & Resorts,"Glendale, CA",Duties of a Research Scientist include:. Research Scientists work on and contribute to research projects relevant to Disney Research and the company....,Nothing_found,"Disney Parks & Resorts Glendale, CA",0.0,0.0
Data Scientist - Tech Start Up,Next Trucking,"Los Angeles, CA",We are looking for a motivated Data Scientist to help make a significant impact on the growth and future of the Next Trucking product....,Nothing_found,"Next Trucking Los Angeles, CA",52.9333333333,45.025
Data Scientist – Machine Learning,Internet Brands,"Los Angeles, CA","Is currently seeking a Data Scientist - Machine Learning, who will help us discover the information hidden in vast amounts of data, and help us make smarter...",Nothing_found,"Internet Brands Los Angeles, CA",49.5833333333,63.468
Associate Machine Learning Engineer,eharmony,"Los Angeles, CA",Create data pipelines to establish datasets for training machine learning models. Degree(s) encompassing significant exposure to computer science and machine...,Nothing_found,"eharmony Los Angeles, CA",42.9166666667,44.463
Summer Internship - Data Science,Tala,"Santa Monica, CA","We are looking for someone to add diversity of thought to our current ensemble of data scientists. We leverage a unique, diverse, and deep data set....",Nothing_found,"Tala Santa Monica, CA",41.2166666667,45.4
Data Analyst (Statistical Analysis),TekVizor,"Los Angeles, CA","Data Mining, loading data, joining tables, select statements, etc... As a member of the Data team, you will be tasked with weaving structured and unstructured...",Nothing_found,"TekVizor Los Angeles, CA",52.9666666667,45.025
"Associate, Data Scientist",KPMG,"Los Angeles, CA 90071","Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and...",Nothing_found,"KPMG Los Angeles, CA 90071",52.9666666667,45.025
Envionmental Scientist II,CWE,"Fullerton, CA 92831","Data management and analysis (compilation, manipulation, and evaluation of data). Perform regulatory and water quality data analyses....",Nothing_found,"CWE Fullerton, CA 92831",28.8,25.213
Principal Data Scientist,sartorius,California,Sartorius - Principal Engineer/Principal Data Scientist (West Coast). We currently have an outstanding opportunity for a Principal Data Scientist....,Nothing_found,sartorius California,0.0,0.0
"Intern – Data Scientist, Data Analytics & Insights",NBCUniversal,"Universal City, CA",Proven track record of leveraging data science and big data to drive significant business impact. Integrate multiple data sources and define key business...,Nothing_found,"NBCUniversal Universal City, CA",26.25,32.754
Data & Research Analyst,Occidental College,"Los Angeles, CA 90041","A minimum 2-4 years of experience in a similar role or managing data analytics, data insights, assessment and evaluation....",Nothing_found,"Occidental College Los Angeles, CA 90041",33.25,38.225
Fraud Data Scientist,Stamps.com,"El Segundo, CA 90245","Analyze large data sets to identify behavior trends among good users and bad actors, using pattern recognition techniques that include statistics, data mining,...",Nothing_found,"Stamps.com El Segundo, CA 90245",52.9833333333,45.025
Principal Data Scientist - Norton Engineering,Symantec,"Culver City, CA","Minimum of 5 years of experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research...",Nothing_found,"Symantec Culver City, CA",41.25,45.4
Sr. Data Scientist,true[X],"Los Angeles, CA","Every data scientist wants to get his/her hands on large and interesting data sets, and we can deliver that and more....",Nothing_found,"true[X] Los Angeles, CA",41.2666666667,45.4
"Senior Data Analyst, Operations Analytics",The Black Tux,"Santa Monica, CA",Collaborate with data scientists to help build advanced analytical models. Collaborate with data engineering team to help define business metrics and to close...,Nothing_found,"The Black Tux Santa Monica, CA",36.65,37.668
Data Analyst - Tableau,"TrueCar, Inc.","Santa Monica, CA",This team member will create transparency for our internal and external data products through data visualization along with analyzing our automotive data lake...,Nothing_found,"TrueCar, Inc. Santa Monica, CA",40.1333333333,37.467
Staff Research Scientist,California Institute of Technology,"Pasadena, CA 91125","Staff Research Scientist. Analyze results and prepare data for presentation and/or publication. Demonstrated attention to detail and organized, accurate record...",Nothing_found,"California Institute of Technology Pasadena, CA 91125",36.4833333333,41.729
Postdoctoral Researcher,UCLA (Cedars-Sinai Medical Center),"Los Angeles, CA","However, abundant opportunities exist for collaborations with other scientists focused on other disease sites....",Nothing_found,"UCLA (Cedars-Sinai Medical Center) Los Angeles, CA",0.0,0.0
Researcher,Riot Games,"Los Angeles, CA","As a Researcher, you’ll join the Insights discipline – the group of researchers, analysts, data scientists, and strategists responsible for solving problems and...",Nothing_found,"Riot Games Los Angeles, CA",41.2333333333,45.4
Data Scientist / Predictive Analyst,Farmers Insurance Group,"Woodland Hills, CA",This position is a true Data Scientist role. 3 years post degree working experience and pervious job title/description should be data scientist which includes...,Nothing_found,"Farmers Insurance Group Woodland Hills, CA",45.3,37.125
Machine Learning Research Scientist,nuTonomy,"Santa Monica, CA","Practical experience in data science, statistics, and analysis of large data sets. Experience using data modeling tools....",Nothing_found,"nuTonomy Santa Monica, CA",34.6166666667,32.32
Analyst,Riot Games,"Los Angeles, CA","As an Analyst , you’ll join the Insights discipline – the group of researchers, analysts, data scientists and strategists responsible for solving problems and...",Nothing_found,"Riot Games Los Angeles, CA",53.0666666667,45.025
Data Entry & Analysis Clerk (entry level),"Motion Picture Compliance Solutions, Inc.","Sylmar, CA 91342","Strong computer skills in the areas data entry and analysis, with attention to detail and accuracy. We are looking for an entry-level Data Entry & Analysis...",Nothing_found,"Motion Picture Compliance Solutions, Inc. Sylmar, CA 91342",20.0,18.487
Forensic Scientist,Quest Diagnostics,"Los Angeles, CA","Of equipment utilized in area of responsibility, capable of programming sequence table for sample analysis, capable of basic data review....",Nothing_found,"Quest Diagnostics Los Angeles, CA",53.0666666667,45.025
Statistician I,USC,"Los Angeles, CA",This position will perform data management and statistical analysis. Keck School of Medicine USC seeks qualified candidates for the Statistician I position....,Nothing_found,"USC Los Angeles, CA",52.8166666667,45.159
Quantitative Analyst II,Bank of Hope,"Los Angeles, CA","Data transformation (if needed) and interactive variables. An ability to analyze and interpret large data sets, identify insights, and synthesize how these...",Nothing_found,"Bank of Hope Los Angeles, CA",51.9833333333,44.558
Senior Data Scientist,Honey,"Los Angeles, CA",Helping mentor more junior data scientists on the team. We are looking for data scientists who love distributed systems and are motivated by the challenge of...,Nothing_found,"Honey Los Angeles, CA",41.2666666667,45.4
Equity Research Analyst,The Beachwood Group,"Los Angeles, CA",Responsibilities The Analyst will work on: • Modeling financial statements and conducting fundamental research • Writing actionable research reports on...,Nothing_found,"The Beachwood Group Los Angeles, CA",39.55,38.794
Research Scientist,SDL,"Los Angeles, CA 90045","Hands-on experience with large-scale data processing. As a Research Scientist, you will assist in shaping the....",Nothing_found,"SDL Los Angeles, CA 90045",41.2666666667,45.4
Senior Data Scientist,Veear Projects,"Los Angeles, CA",A history of working with medical claims data. The ideal candidate will be a self-starter who is comfortable making appropriate modeling decisions in line with...,Nothing_found,"Veear Projects Los Angeles, CA",41.3333333333,45.4
Advanced Analytics Consultant,Nmatrixx,"Los Angeles, CA","Knowledge of data conversion strategy, capturing data, creating source to target definitions for ETL/ data flow process, data quality and data base management....",Nothing_found,"Nmatrixx Los Angeles, CA",52.1,44.558
Data Science - Marketplace Optimization & Forecast,Honk,"Los Angeles, CA 90064",A proven Data Scientist or Engineer with hands on practical experience; We are looking for a Data Scientist with an insatiable curiosity for the evolving way...,Nothing_found,"Honk Los Angeles, CA 90064",52.4333333333,44.424
Data Science Developer,KORNFERRY,"Los Angeles, CA",Develop interactive data visualizations that allow our clients to explore their own data. Korn Ferry’s expanding team of data scientists plays an important role...,Nothing_found,"KORNFERRY Los Angeles, CA",52.45,44.424
Computer Vision - Research Scientist,nuTonomy,"Santa Monica, CA",Deep learning applied to images or video data. We are seeking highly talented Computer Vision Research Scientists focused on computer vision & machine learning...,Nothing_found,"nuTonomy Santa Monica, CA",52.45,44.424
Machine Learning Engineer,Oben,"Pasadena, CA","As a member of the machine language translation team, you utilize your superior technical aptitude and deep understanding of Machine Learning and Natural...",Nothing_found,"Oben Pasadena, CA",52.45,44.424
Research Analyst,"TrueCar, Inc.","Santa Monica, CA","Collect, manipulate and analyze large data sets from primary research, secondary data suppliers and internal sources....",Nothing_found,"TrueCar, Inc. Santa Monica, CA",52.4666666667,44.424
Research Analyst,Mount St. Mary's College,"Los Angeles, CA 90007","Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi...",Nothing_found,"Mount St. Mary's College Los Angeles, CA 90007",33.65,38.776
Statistician,Doctor Evidence,"Santa Monica, CA 90401","Evidence of clear and concise scientific writingDirect experience in working with real world data using large data, including detailed analyses and publication....",Nothing_found,"Doctor Evidence Santa Monica, CA 90401",26.2833333333,23.711
Associate,Exponent,"Los Angeles, CA 90066","Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve...",Nothing_found,"Exponent Los Angeles, CA 90066",22.0666666667,25.274
Product Data Analyst,Grindr,"Los Angeles, CA 90046",Integrate market research data with customer data to create stories and viewpoints that support sales opportunities and client business objectives....,Nothing_found,"Grindr Los Angeles, CA 90046",52.5166666667,44.424
Senior Data Scientist,Factual,"Los Angeles, CA 90067","Willingness and ability to wrangle messy data. As a Data Scientist, you will have the opportunity to shape and influence the direction of our products and...",Nothing_found,"Factual Los Angeles, CA 90067",52.5166666667,44.424
