,job_title,company_name,location,summary,salary,clean_address,commute,distance_km
1,Senior Data Scientist,Restoration Media,"Irvine, CA 92614",The Senior Data Scientist will leverage the business’s data to enhance business stakeholders capabilities for overall goal achievement....,Nothing_found,"Restoration Media Irvine, CA 92614",33.4166666667,47.222
2,Data Scientist I,Auto Club of Southern California,"Costa Mesa, CA 92626","A Data Scientist is expected to understand the business goals/needs, utilize technology to analyze data, and transform findings into actionable business...",Nothing_found,"Auto Club of Southern California Costa Mesa, CA 92626",28.0,40.88
3,Data Scientist,"Ocean Media, LLC","Huntington Beach, CA 92647",The Data Scientist will demonstrate:. Strong attention to detail with the ability to scrutinize large data sets for data integrity and effectively identify and...,Nothing_found,"Ocean Media, LLC Huntington Beach, CA 92647",31.3666666667,37.891
4,"Associate, Data Scientist/Statistics - Financial Services",KPMG,"Los Angeles, CA 90071","Machine learning, data visualization, statistical modeling, data mining, or information retrieval. A minimum of one year of professional experience working as a...",Nothing_found,"KPMG Los Angeles, CA 90071",44.1166666667,43.5
5,Artificial Intelligence & Data Scientist,Twentieth Century Fox,"Los Angeles, CA","1-3+ years of experience as data scientist. Experience in data ingestion, data cleaning, prototyping, bringing prototypes to production, product design, setting...",Nothing_found,"Twentieth Century Fox Los Angeles, CA",42.45,58.466
6,Data Scientist / Data Analyst,Hyperloop One,"Los Angeles, CA","The Data Scientist / Data Analyst will be part of Machine Intelligence & Analytics Group, within the Software Engineering Division....",Nothing_found,"Hyperloop One Los Angeles, CA",20.3833333333,19.29
7,"Research Scientist, Machine Learning / Artificial Intelligence",Disney Parks & Resorts,"Glendale, CA",Duties of a Research Scientist include:. Research Scientists work on and contribute to research projects relevant to Disney Research and the company....,Nothing_found,"Disney Parks & Resorts Glendale, CA",0.0,0.0
8,Data Scientist - Tech Start Up,Next Trucking,"Los Angeles, CA",We are looking for a motivated Data Scientist to help make a significant impact on the growth and future of the Next Trucking product....,Nothing_found,"Next Trucking Los Angeles, CA",44.1166666667,43.5
9,Data Scientist – Machine Learning,Internet Brands,"Los Angeles, CA","Is currently seeking a Data Scientist - Machine Learning, who will help us discover the information hidden in vast amounts of data, and help us make smarter...",Nothing_found,"Internet Brands Los Angeles, CA",44.8166666667,64.776
10,Associate Machine Learning Engineer,eharmony,"Los Angeles, CA",Create data pipelines to establish datasets for training machine learning models. Degree(s) encompassing significant exposure to computer science and machine...,Nothing_found,"eharmony Los Angeles, CA",37.25,45.771
11,Summer Internship - Data Science,Tala,"Santa Monica, CA","We are looking for someone to add diversity of thought to our current ensemble of data scientists. We leverage a unique, diverse, and deep data set....",Nothing_found,"Tala Santa Monica, CA",41.1333333333,46.016
12,Data Analyst (Statistical Analysis),TekVizor,"Los Angeles, CA","Data Mining, loading data, joining tables, select statements, etc... As a member of the Data team, you will be tasked with weaving structured and unstructured...",Nothing_found,"TekVizor Los Angeles, CA",44.1166666667,43.5
13,"Associate, Data Scientist",KPMG,"Los Angeles, CA 90071","Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and...",Nothing_found,"KPMG Los Angeles, CA 90071",44.1166666667,43.5
14,Seeking full time Clinical Labratory Scientist,Epicgenetics,"Los Angeles, CA 90067","Performs clinical laboratory assays to provide data for diagnosis,treatment, and prevention of disease....",Nothing_found,"Epicgenetics Los Angeles, CA 90067",44.1166666667,43.5
15,Principal Data Scientist,sartorius,California,Sartorius - Principal Engineer/Principal Data Scientist (West Coast). We currently have an outstanding opportunity for a Principal Data Scientist....,Nothing_found,sartorius California,335.55,615.127
