,job_title,company_name,location,summary,salary
9,data analyst - tableau,"truecar, inc.","santa monica, ca",this team member will create transparency for our internal and external data products through data visualization along with analyzing our automotive data lake...,Nothing_found
11,data scientist,hulu,"santa monica, ca",we are looking for data scientists who are passionate about using data to drive strategy and product recommendations....,Nothing_found
12,data scientist,sony pictures entertainment inc.,"culver city, ca 90232",must have experience with big data and standardizing/ appending variables across disparate data sets. managing the ingestion and cleansing of large data sets...,Nothing_found
17,data scientist,cybercoders,"west hollywood, ca 90038","data scientist are you a data scientist with a ph.d. (e.g., as a statistician / data scientist / computational biologist / bioinformatician)....","$100,000 - $250,000 a year"
18,clinical lab research scientist,research & development institute,"van nuys, ca 91406","we are seeking a lab scientist to manage all our assay validation and testing protocols. act as the technical project leader for multiple projects, provides...","$35,000 - $40,000 a year"
19,operational risk reporting and metrics specialist,the weinman group,"los angeles, ca","the role is more risk professional with advanced skills in tools and data analytics (excel, access, tableau), rather than a data scientist with a little...",Nothing_found
26,data scientist,taboola,"los angeles, ca","experience in collecting data from/exposing data to various data sources and services (api, json, xml)....",Nothing_found
27,analyst - gamma,the boston consulting group,"los angeles, ca","big data engineers, together with data scientists, scientific modelers, scientific programmers, data visualization specialists as well geospatial analysts, are...",Nothing_found
28,data scientist,riot games,"los angeles, ca",work closely with fellow data scientists and engineers to identify opportunities and improve our data ecosystem. big data passionate :....,Nothing_found
30,data analysis specialist,prn ambulance,"north hills, ca",the data analysis specialist is responsible for verifying that all transport information is complete and consistent with call intake data....,Nothing_found
41,data scientist,clicktripz,"manhattan beach, ca","clicktripz is looking for a skilled data scientist. excellent communication skills - while the data science group is currently located in los angeles, we are a...",Nothing_found
42,junior research analyst,sinclair broadcast group,"santa monica, ca","aid in analysis and storytelling using qualitative and quantitative data gathered using nielsen, ipsos, comscore, mri and other data sources....",Nothing_found
44,signal processing data scientist,the aerospace corporation,"el segundo, ca 90245",experience in data science projects. experience required in data science which includes:. experience in implementing data science algorithms on gpus....,Nothing_found
49,clinical laboratory scientist,pacific reproductive center,"irvine, ca 92618","monitors and is accountable for test data, quality control, calibration data, quality assurance,preventive maintenance....",Nothing_found
65,clinical research scientist,amphastar pharmaceuticals inc,"rancho cucamonga, ca",coordinate organizational resources to support build of data driven study / program assumptions. this position which is located at amphastar’s corporate...,Nothing_found
69,marketing research analyst,new sun investment group,"commerce, ca 90040","manage and resolve the key data issues involving quality, consistency of data for analytical purposes. 3 - 4 years of experience interpreting data and providing...",Nothing_found
94,senior data scientist,lt,"los angeles, ca",the ideal candidate for this senior data scientist position will have 5 years of experience working as a data scientist in an engineering company....,"$150,000 - $190,000 a year"
95,cosc customer operations support engineer,boeing,"el segundo, ca 90245","locate critical data in department/program libraries, website records, and data repositories. skilled scientists and thinkers....",Nothing_found
105,sr. data scientist,veear projects,"los angeles, ca","our client is seeking for sr.data scientist in los angeles, ca. local candidates preferred....",Nothing_found
