,Term,NumPostings
11,Python,67.5
23,R,57.5
0,Statistics,53.75
32,SQL,51.25
25,Quantitative,36.25
1,Java,32.5
16,Spark,28.75
31,Regression,23.75
6,Hadoop,21.25
8,Matlab,21.25
29,Manage,20.0
34,Cloud,20.0
10,Lead,20.0
15,SAS,18.75
5,Excel,17.5
3,Scala,15.0
24,Hive,12.5
4,JavaScript,10.0
20,C++,10.0
21,Tableau,10.0
12,D3,8.75
30,MapReduce,8.75
9,Pig,7.5
2,NoSQL,7.5
13,AWS,7.5
33,Econometrics,5.0
22,develops,5.0
17,Ruby,3.75
27,Perl,3.75
19,AI,3.75
14,SPSS,2.5
7,D3.js,2.5
28,MongoDB,1.25
26,HBase,1.25
18,hires,1.25
