,job_title,company_name,location,summary,salary
7,data scientist,stackyork,"los angeles, ca","teach and mentor other analysts about good data science techniques. expert at using sql to gather, analyze, and clean market data....",Nothing_found
11,"associate, data scientist/statistics - financial services",kpmg,"los angeles, ca 90071","machine learning, data visualization, statistical modeling, data mining, or information retrieval. a minimum of one year of professional experience working as a...",Nothing_found
12,data scientist - tech start up,next trucking,"los angeles, ca",we are looking for a motivated data scientist to help make a significant impact on the growth and future of the next trucking product....,Nothing_found
15,principal data scientist,sartorius,california,sartorius - principal engineer/principal data scientist (west coast). we currently have an outstanding opportunity for a principal data scientist....,Nothing_found
37,data scientist – machine learning,internet brands,"los angeles, ca","is currently seeking a data scientist - machine learning, who will help us discover the information hidden in vast amounts of data, and help us make smarter...",Nothing_found
39,financial data scientist,verity business services,"los angeles, ca",the primary function of the data scientist is to automate current manual financial and operational reporting....,Nothing_found
50,senior data scientist,veear projects,"los angeles, ca",a history of working with medical claims data. the ideal candidate will be a self-starter who is comfortable making appropriate modeling decisions in line with...,Nothing_found
54,data entry & analysis clerk (entry level),"motion picture compliance solutions, inc.","sylmar, ca 91342","strong computer skills in the areas data entry and analysis, with attention to detail and accuracy. we are looking for an entry-level data entry & analysis...",Nothing_found
57,data science - marketplace optimization & forecast,honk,"los angeles, ca 90064",a proven data scientist or engineer with hands on practical experience; we are looking for a data scientist with an insatiable curiosity for the evolving way...,Nothing_found
78,senior data scientist,honey,"los angeles, ca",helping mentor more junior data scientists on the team. we are looking for data scientists who love distributed systems and are motivated by the challenge of...,Nothing_found
82,sr. data scientist,true[x],"los angeles, ca","every data scientist wants to get his/her hands on large and interesting data sets, and we can deliver that and more....",Nothing_found
83,senior statistician,ucla health,"los angeles, ca","under the supervision of the manager of the data analysis team, the incumbent will lead statistical analysis and supervise data managers and graduate student...",Nothing_found
93,"senior associate, data scientist",kpmg,"los angeles, ca 90071","retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and...",Nothing_found
99,associate scientist,csl behring,"pasadena, ca","collating, presenting and analysing experimental data in consultation with a scientist and/or senior scientist, including statistical analysis....",Nothing_found
102,senior nlp data scientist,capital group,"los angeles, ca 90071","based in irvine or los angeles, as a senior data scientist, you will be experienced with and passionate about using data to drive business strategy, tactical...",Nothing_found
116,ms expert data analytics scientist - business intelligence,allscripts,"whittier, ca","recommend methods to collect, analyse and manage data to improve data quality and effectiveness of data systems....",Nothing_found
130,sr. specialist – data science,sapient global markets,"los angeles, ca",should be able to guide and direct a team of junior data scientists and data analysts. understanding of data visualization patterns....,Nothing_found
147,senior data scientist,bcg digital ventures,"manhattan beach, ca","big data and fast data (i.e.:. build innovative data products (e.g., artificial intelligence, real-time services, such as personalization and commerce graphing...",Nothing_found
164,data analysis specialist,prn ambulance,"north hills, ca",the data analysis specialist is responsible for verifying that all transport information is complete and consistent with call intake data....,Nothing_found
174,"associate, data scientist",kpmg,"los angeles, ca 90071","retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and...",Nothing_found
216,learning data scientist,age of learning,"glendale, ca 91203","data flow and analysis. facility in designing data structures to capture a consistent, scalable schema of data across digital learning contexts;...",Nothing_found
220,sr. assoc machine learning modeler / data scientist,zestfinance,"los angeles, ca","knowledge of data structures and parallelization. experience with large scale data storage and analysis (e.g., spark, mapreduce) is a plus....",Nothing_found
221,statistician,"first capitol consulting, inc.","los angeles, ca",the workforce statistician is responsible for designing and presenting pay equity analysis to our clients. be accountable for pay equity analysis by...,Nothing_found
233,senior data scientist,spokeo,"pasadena, ca","spokeo is seeking a senior data scientist to join us in pasadena, ca. as a senior data scientist, you would have high visibility and opportunity to analyze and...",Nothing_found
234,advanced analytics consultant,nmatrixx,"los angeles, ca","knowledge of data conversion strategy, capturing data, creating source to target definitions for etl/ data flow process, data quality and data base management....",Nothing_found
235,senior data scientist,factual,"los angeles, ca 90067","willingness and ability to wrangle messy data. as a data scientist, you will have the opportunity to shape and influence the direction of our products and...",Nothing_found
