,job_title,clean_address,waze
0,Senior Data Scientist,"Singularity 6 Los Angeles, CA","(25.8166666667, 35.316)"
1,Senior Data Analyst,"Wpromote El Segundo, CA 90245","(19.4333333333, 25.32)"
2,Senior Data Scientist,"Netflix Los Angeles, CA 90028 (Hollywood area)","(2299.33333333, 4584.562)"
3,Senior Data Analyst,"TutorMe Los Angeles, CA","(2300.95, 4584.562)"
4,Senior Data Analyst,"Mobilityware Los Angeles, CA","(334.466666667, 640.051)"
5,Senior Data Scientist,"true[x] Los Angeles, CA 90049 (Brentwood area)","(34.3, 44.477)"
6,Senior Data Scientist,"TikTok Los Angeles, CA 90232 (Palms area)","(33.0833333333, 23.769)"
7,"Sr. Data Scientist, Predictive Analysis - HBO Max","HBO Max Burbank, CA","(27.65, 45.149)"
8,Deloitte Consulting Commercial Intelligence Data Scientist (Enabling Senior Consultant),"Deloitte Los Angeles, CA 90013 (Downtown area)","(33.0833333333, 23.769)"
9,Senior Data Scientist,"Operating Company ACTIVISION PUBLISHING, INC Woodland Hills, CA","(22.5166666667, 30.487)"
10,Senior Data Scientist,"Foursquare Los Angeles, CA","(29.1833333333, 41.019)"
11,Senior Data Scientist,"Jam City Culver City, CA","(29.1833333333, 41.019)"
12,Sr. Data Analyst - Oracle SQL,,"(11.7833333333, 14.964)"
13,Senior Data Analyst,"Los Angeles Superior Court Los Angeles County, CA","(11.8833333333, 14.134)"
14,Sr. Data Scientist,"Icon Media Direct, Inc. Sherman Oaks, CA 91411","(11.8833333333, 14.134)"
15,Senior Data Scientist,"Twentieth Century Fox Los Angeles, CA","(18.6666666667, 27.282)"
16,Sr. Data Scientist,"Warner Bros. Entertainment Group Burbank, CA","(8.46666666667, 4.855)"
17,"Senior Data Analyst, Data Insights","Hulu Santa Monica, CA 90404 (Mid-City area)","(32.0833333333, 51.15)"
18,Global Senior Data Scientist,"KARL STORZ El Segundo, CA","(11.9166666667, 9.045)"
19,Senior Data Analyst,"Lucky Day Los Angeles, CA","(40.2666666667, 70.671)"
20,Sr. Data Scientist,"ServiceTitan Los Angeles, CA","(11.7833333333, 14.964)"
21,Senior Data Analyst,"TikTok Los Angeles, CA 90232 (Palms area)","(41.5333333333, 71.738)"
22,Senior Machine Learning Research Scientist,"Hyundai-Aptiv Autonomous Driving Joint Venture Santa Monica, CA","(20.75, 28.771)"
23,Senior Data Analyst,"Fox Corporation Los Angeles, CA 90036 (Mid City area)","(36.2333333333, 60.286)"
24,Senior Data Analyst,"Steady Platform Playa Vista, CA","(11.7833333333, 14.964)"
25,Senior Data Analyst,"PlayQ Santa Monica, CA","(19.65, 27.216)"
26,Senior Machine Learning Scientist,"Beyond Limits Glendale, CA","(33.0833333333, 23.769)"
27,,,"(26.8833333333, 43.432)"
28,Senior Data Analyst - User Growth,"TikTok Los Angeles, CA 90232 (Palms area)","(26.8833333333, 43.432)"
29,Sr Performance Metrics Data Analyst,"Bank of Hope Los Angeles, CA","(32.0166666667, 49.664)"
30,,,"(24.7166666667, 38.03)"
31,,,"(2220.03333333, 4385.127)"
32,,,"(11.7833333333, 14.964)"
33,,,"(13.3333333333, 9.083)"
34,,,"(13.3333333333, 9.083)"
35,,,"(87.8, 145.896)"
36,Sr. Data Analyst,"Screen Actors Guild- Producers Pension & Health Pl... Burbank, CA","(33.1166666667, 23.769)"
37,,,"(30.55, 41.687)"
38,,,"(19.7333333333, 28.425)"
39,,,"(0.133333333333, 0.054)"
40,Senior Data Analyst,"Tillster Los Angeles, CA 90024 (Westwood area)","(33.1166666667, 23.769)"
41,Senior Data Engineer,"Retention Science Santa Monica, CA","(10.8166666667, 6.444)"
42,,,"(10.8166666667, 6.444)"
43,Senior Machine Learning Engineer,"ZEFR Marina del Rey, CA","(33.1166666667, 23.769)"
44,Senior Statistical Programmer,"Katalyst HealthCares & Life Sciences Santa Monica, CA 90406","(33.1166666667, 23.769)"
45,,,"(33.0666666667, 23.769)"
46,Senior Data Analyst,"DISQO Glendale, CA","(33.0666666667, 23.769)"
47,"Data Analyst - Health, Senior","Blue Shield of California Woodland Hills, CA 91367","(12.4166666667, 13.75)"
48,"Senior Data Engineer, Production Management, Data Science & Engineering","Netflix Los Angeles, CA 90028 (Hollywood area)","(32.9166666667, 50.136)"
49,"Sr. Data Analyst, Consumer Applications","System1 Venice, CA","(19.7166666667, 28.425)"
50,"Senior Machine Learning Research Engineer, Prediction","Hyundai-Aptiv Autonomous Driving Joint Venture Santa Monica, CA","(33.0666666667, 23.769)"
51,Senior Statistical Programmer,"PRA Health Sciences Santa Monica, CA","(22.4833333333, 30.487)"
52,Sr. Data Analyst,"Shapestone Inc. Burbank, CA","(25.5333333333, 37.956)"
53,,,"(11.95, 9.896)"
54,Senior Data Scientist,"Strivr Los Angeles, CA","(9.98333333333, 6.365)"
55,Sr. Data Analyst — US Safety,"TikTok Los Angeles, CA 90232","(33.0666666667, 23.769)"
56,"Sr. Data Scientist - Chicago, IL",,"(0, 0)"
57,"Sr. Manager, Supply Chain Business Intelligence and Data Science",,"(0, 0)"
58,,,"(0, 0)"
69,Senior Software Engineer - Artificial Intelligence Group,"Jet Propulsion Laboratory La Cañada Flintridge, CA 91011",
74,Senior AI Engineer,"Ontrak Inc Los Angeles, CA 90025",
79,"Sr. Director, Machine Learning & Artificial Intelligence","HBO Max Burbank, CA",
85,SENIOR DATA MINING ENGINEER,"Trans Techno Infoway Cypress, CA 90630",
87,Sr. Data Analyst,"Mylife Los Angeles, CA 90025 (Sawtelle area)",
88,Senior Software Engineer - Data Engineering & Architecture,"Beyond Limits Glendale, CA",
91,SENIOR STATISTICAL ANALYST,"Alto Riot Los Angeles, CA",
99,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,"Kaiser Permanente Pasadena, CA 91101 (South area)",
102,Senior Applied Machine Learning Engineer,"Retention Science Santa Monica, CA",
105,Senior AI Software Engineer (Star Wars) - C++,"Electronic Arts Los Angeles, CA",
